,0
0,0.08151754561571507
1,0.13110122527567566
2,0.05380189489224109
3,0.08444072757439602
4,0.34154298965535346
5,0.08638829188595067
6,0.07687800505875411
7,0.08908854238702216
8,0.3103095527616694
9,0.060200167703641276
10,0.08237328485868362
11,0.0878177231070591
12,0.34700597854412263
13,0.07182698440638464
14,0.11936789222222503
15,0.12383601675828892
16,0.06797771557047666
17,0.07846883567565854
18,0.07535468974630466
19,0.10058689741812675
20,0.06684982669638645
21,0.09634009314499418
22,0.06903477747865466
23,0.06668927789165766
24,0.07239716650242128
25,0.05425302890166087
26,0.1312744491688985
27,0.07435389099511787
28,0.1015100752105372
29,0.05979158826682021
30,0.2378668257570687
31,0.047001302471649735
32,0.08726635889403456
33,0.28053298948711664
34,0.12278882665036135
35,0.17185179946282886
36,0.2482711074590956
37,0.10280895242570987
38,0.06481286522665629
39,0.07270932142641033
40,0.10075912683355552
41,0.2179975208034223
42,0.1506959074086654
43,0.1030679406303567
44,0.09091779359946112
45,0.1350321267919928
46,0.2745782515942124
47,0.11618467366145686
48,0.13604957414372598
49,0.07532051757478066
50,0.10601611695121901
51,0.06798007469674286
52,0.05068458401307685
53,0.09582197541265612
54,0.06598828364668011
55,0.21230206232247492
56,0.06002223766640013
57,0.08007382363410068
58,0.10941216628699091
59,0.17758719925541636
60,0.06309429586793296
61,0.0736450869316016
62,0.11450637589323942
63,0.058715746935742226
64,0.10199147579767123
65,0.12807570535113874
66,0.10061379792245176
67,0.10422782351955565
68,0.06806669024871882
69,0.10123916136648634
70,0.06690803916777081
71,0.12312554117492872
72,0.117796823127287
73,0.06077862466116098
74,0.15337790271705926
75,0.06531522770523485
76,0.10491660149285681
77,0.12293597596019099
78,0.06962224475117317
79,0.04943363461322455
80,0.18302447191258128
81,0.07832018776908585
82,0.08260584304890502
83,0.08962138976828068
84,0.11160517037703582
85,0.07229423551960691
86,0.30908926156889527
87,0.08620659920391652
88,0.14417063003917094
89,0.1576768046587535
90,0.1244700282854951
91,0.09731104432234482
92,0.3309170918696013
93,0.3463300638131833
94,0.05544102087046946
95,0.12951183605911315
96,0.09176249105405015
97,0.22599685051370835
98,0.17722950432718304
99,0.06707100858764305
100,0.07447474920246892
101,0.07900884596414634
102,0.07099471685420707
103,0.06810082263626625
104,0.08176124437189747
105,0.06321999824665037
106,0.07286954798207206
107,0.06826759388704379
108,0.14765412665504102
109,0.047703326645700726
110,0.07347085285485527
111,0.05367465391307175
112,0.08568618057982429
113,0.12584353288678946
114,0.08877755771397938
115,0.24404286139515405
116,0.05294855264815745
117,0.34025284157894475
118,0.07128369414184026
119,0.07288136704091734
120,0.08215518148731993
121,0.07196984840505045
122,0.11595407679193535
123,0.07511889126038306
124,0.09100363128047922
125,0.17501248335780725
126,0.05432480532098412
127,0.06580875504731351
128,0.10038793755836964
129,0.06756219550896786
130,0.06954594340262574
131,0.07300650100849249
132,0.05980836585257856
133,0.08478812753339161
134,0.051729984386630394
135,0.15209475198931796
136,0.06869854690851283
137,0.06509296511281479
138,0.34279186219857705
139,0.11727521503767822
140,0.06203915447267223
141,0.364919192688721
142,0.2595177691476762
143,0.06766855865371889
144,0.10505720065204079
145,0.17494265859251604
146,0.05433758688193935
147,0.18347083058439898
148,0.06684377707734487
149,0.062032280346043404
150,0.06791680842398296
151,0.12748062399163052
152,0.29880906480320146
153,0.09874038096223123
154,0.1678291334642301
155,0.06755773594087673
156,0.2948760158559485
157,0.07849495675571824
158,0.089052764619278
159,0.06509652990785288
160,0.08526821206396662
161,0.09005815378601369
162,0.07686218319226225
163,0.0628318440744455
164,0.07147427548336628
165,0.26702058871020856
166,0.0974279344303391
167,0.14854818780280457
168,0.23311764925104556
169,0.07345508518712911
170,0.05932644973272523
171,0.08173860614590603
172,0.09491208248624299
173,0.08419132053014323
174,0.07704143034331622
175,0.07446456627443361
176,0.05978973784596468
177,0.06057649470283646
178,0.13289976621838595
179,0.1806295653068933
180,0.14565737920934516
181,0.11991344628092014
182,0.10849495087937142
183,0.05905948096059716
184,0.07452250349978502
185,0.062340865745131153
186,0.05440974579785704
187,0.10464016846373793
188,0.2183741567939331
189,0.05698306289693273
190,0.08037877025866635
191,0.07514423334871394
192,0.07070437280932729
193,0.06416932811542851
194,0.06130854375580669
195,0.06085448837019904
196,0.14743368594822195
197,0.04363297696522979
198,0.06735806135406447
199,0.06425359834853618
200,0.07601448826011847
201,0.10624387117236786
202,0.11218342587720458
203,0.07459092777325395
204,0.12813857701151807
205,0.06212900171066458
206,0.08890366926633865
207,0.06320986572681757
208,0.20585856012983547
209,0.3295106158861784
210,0.08736294416208318
211,0.13621983355435904
212,0.07082549554415418
213,0.04939884265632118
214,0.13067048056484493
215,0.06592987078229054
216,0.0637819598610831
217,0.07007156622762019
218,0.0812783797289337
219,0.09329144256885769
220,0.0898191720976238
221,0.2850660448307423
222,0.11095951081523592
223,0.09012702215238531
224,0.12014402910969044
225,0.14106133613493646
226,0.05325792004511546
227,0.06797771557047666
228,0.06538027942251005
229,0.10635059128848527
230,0.07309917730502466
231,0.07484027883366808
232,0.10583531607060097
233,0.08867096924630727
234,0.12887458788220055
235,0.06443922264228834
236,0.12146226274592108
237,0.09338251938645174
238,0.13681199532890245
239,0.04762456342329636
240,0.12245390561029504
241,0.06685920107049138
242,0.12914620128287221
243,0.06838626100258743
244,0.12697037614799248
245,0.05450731858629143
246,0.2235889917341663
247,0.10553097113661614
248,0.0866969043692121
249,0.05332632464216036
250,0.054529031378469615
251,0.25421497098815465
252,0.06653660906247036
253,0.07824515130355186
254,0.09066020340583449
255,0.3565014746919865
256,0.21539284236339631
257,0.10778284491230744
258,0.1577586744100279
259,0.08545260253218843
260,0.07598618481520848
261,0.0861732664360176
262,0.0933464609123063
263,0.06796542684155021
264,0.0815445323092642
265,0.05240306600799002
266,0.07254695014627274
267,0.04816074409164484
268,0.13407887333574156
269,0.06797771557047666
270,0.0723446943702824
271,0.11115875598121289
272,0.06944356025894495
273,0.14051974880982596
274,0.06833167302630547
275,0.09283504247712437
276,0.08655807768192415
277,0.08982965385089406
278,0.06097616980765612
279,0.10420530727174997
280,0.20855060377759962
281,0.1112905711510394
282,0.1798485246863258
283,0.20762512314526302
284,0.07922933235596524
285,0.11528702486913853
286,0.09630921376656845
287,0.08272274042037772
288,0.09139194347628675
289,0.2119752915311105
290,0.07471191656666475
291,0.07729739653835511
292,0.06014485628767849
293,0.060036896919909176
294,0.11843876113897739
295,0.23520717338330363
